fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02564102564102564,0.9985618502640472
0.0,0.358974358974359,0.9635061054434946
0.028169014084507043,0.358974358974359,0.9498858600144501
0.028169014084507043,0.41025641025641024,0.9417996414131747
0.04225352112676056,0.41025641025641024,0.9361876323658233
0.04225352112676056,0.5897435897435898,0.8719932852120662
0.056338028169014086,0.5897435897435898,0.8499656799132267
0.056338028169014086,0.6153846153846154,0.8420740207007003
0.07042253521126761,0.6153846153846154,0.8410814958073001
0.07042253521126761,0.6410256410256411,0.8203384827459045
0.08450704225352113,0.6410256410256411,0.7974078676509998
0.08450704225352113,0.6923076923076923,0.7870168227742087
0.11267605633802817,0.6923076923076923,0.7824483242326342
0.11267605633802817,0.7948717948717948,0.6629670989373722
0.1267605633802817,0.7948717948717948,0.6302113259639118
0.1267605633802817,0.8461538461538461,0.49502870411486166
0.14084507042253522,0.8461538461538461,0.4835856398394429
0.14084507042253522,0.8974358974358975,0.41913044918621034
0.2112676056338028,0.8974358974358975,0.3320880908193103
0.2112676056338028,0.9230769230769231,0.32672845137465345
0.23943661971830985,0.9230769230769231,0.29009231054021256
0.23943661971830985,0.9487179487179487,0.2869669259073983
0.352112676056338,0.9487179487179487,0.16623400254906837
0.352112676056338,0.9743589743589743,0.16146219558182137
0.5211267605633803,0.9743589743589743,0.08957006333950153
0.5492957746478874,0.9743589743589743,0.08180665856861112
0.5633802816901409,0.9743589743589743,0.0716429226921111
0.5633802816901409,1.0,0.06460416955584766
1.0,1.0,0.0026377445964089158
