fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02564102564102564,0.9890195830140099
0.0,0.5384615384615384,0.875524079741991
0.04225352112676056,0.5384615384615384,0.8660791470525109
0.04225352112676056,0.5897435897435898,0.8477926387538745
0.056338028169014086,0.5897435897435898,0.8268950531366501
0.056338028169014086,0.6153846153846154,0.8262777265960539
0.07042253521126761,0.6153846153846154,0.8035464592441061
0.07042253521126761,0.6410256410256411,0.7868348942155823
0.08450704225352113,0.6410256410256411,0.7823029080602953
0.08450704225352113,0.7692307692307693,0.7040709632227394
0.1267605633802817,0.7692307692307693,0.6439146237533728
0.1267605633802817,0.7948717948717948,0.568926288073727
0.14084507042253522,0.7948717948717948,0.5612407585632401
0.14084507042253522,0.8974358974358975,0.5151735826316797
0.16901408450704225,0.8974358974358975,0.44049587514048394
0.16901408450704225,0.9230769230769231,0.4239639208554192
0.23943661971830985,0.9230769230769231,0.35826375304206187
0.23943661971830985,0.9487179487179487,0.33745058542341927
0.30985915492957744,0.9487179487179487,0.19077033945345098
0.30985915492957744,0.9743589743589743,0.1755353681486061
0.4788732394366197,0.9743589743589743,0.12265171278916481
0.4788732394366197,1.0,0.11743952656682402
0.6197183098591549,1.0,0.07875254018506188
0.647887323943662,1.0,0.07857257463956856
1.0,1.0,0.01172674855170489
