threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.01,0.2745411865130175,0.2708777920045526,0
0.0198989898989899,0.27230688054950336,0.2635136802469978,0
0.029797979797979796,0.27113959132200804,0.255999296141241,0
0.039696969696969696,0.27045453535349046,0.24832999257774482,0
0.049595959595959596,0.2699004100060026,0.240500928837987,0
0.059494949494949496,0.2690366233487273,0.23250706040560837,0
0.06939393939393938,0.2676664021904137,0.22434312812727883,0
0.07929292929292929,0.26755541477057626,0.21600364667434116,0
0.08919191919191918,0.267479893222036,0.20748289225203725,0
0.09909090909090908,0.26809951535651855,0.19877488949844377,0
0.10898989898989898,0.2674012559656773,0.18987339751010313,0
0.11888888888888888,0.26724153242278387,0.18077189492567003,0
0.12878787878787878,0.26671769748928353,0.17146356399265159,0
0.1386868686868687,0.2662627577355773,0.16194127353543092,0
0.1485858585858586,0.26526462130237827,0.15219756073515478,0
0.15848484848484848,0.26424300212510204,0.142224611623649,0
0.16838383838383839,0.26391001175277096,0.1320142401842123,0
0.1782828282828283,0.26288987768034144,0.12155786594180942,0
0.18818181818181817,0.2618448653849187,0.11084648991372648,0
0.19808080808080808,0.2616438015927788,0.09987066877901749,0
0.207979797979798,0.26245035575011094,0.08862048711090674,0
0.21787878787878787,0.26345558823689913,0.07708552750053206,0
0.22777777777777777,0.2636285337926842,0.06525483838281487,0
0.23767676767676768,0.2638974165651121,0.05311689935558759,0
0.24757575757575756,0.2642660230411871,0.040659583761124975,0
0.25747474747474747,0.2635173714029518,0.02787011827460482,0
0.2673737373737374,0.2627484887263745,0.014735039216409692,0
0.2772727272727273,0.2619585437151209,0.0012401452741606933,0
0.2871717171717172,0.2611466588962712,-0.01262955371452179,0
0.29707070707070704,0.26031190736891535,-0.02688989230685154,0
0.30696969696969695,0.2594533092740967,-0.04155760976000287,0
0.31686868686868686,0.25856982795784017,-0.05665041557938491,0
0.32676767676767676,0.25766036579567425,-0.07218706084971946,0
0.33666666666666667,0.25672375964328686,-0.08818741595300444,0
0.3465656565656566,0.2576262957245716,-0.1046725553506539,0
0.3564646464646465,0.25671451405024087,-0.12166485019045371,0
0.36636363636363634,0.2557742437407804,-0.13918806959403476,0
