fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.07692307692307693,1.0
0.0,0.1794871794871795,0.97
0.0,0.20512820512820512,0.96
0.0,0.2564102564102564,0.95
0.0,0.3333333333333333,0.9
0.014084507042253521,0.3333333333333333,0.89
0.014084507042253521,0.41025641025641024,0.86
0.028169014084507043,0.41025641025641024,0.85
0.028169014084507043,0.4358974358974359,0.84
0.056338028169014086,0.48717948717948717,0.8
0.056338028169014086,0.5641025641025641,0.77
0.056338028169014086,0.6153846153846154,0.75
0.07042253521126761,0.6666666666666666,0.73
0.11267605633802817,0.6666666666666666,0.68
0.14084507042253522,0.717948717948718,0.64
0.14084507042253522,0.7435897435897436,0.6333333333333333
0.16901408450704225,0.7435897435897436,0.63
0.16901408450704225,0.8461538461538461,0.51
0.18309859154929578,0.8461538461538461,0.5
0.19718309859154928,0.8717948717948718,0.47
0.2112676056338028,0.8717948717948718,0.46
0.2112676056338028,0.9230769230769231,0.43
0.23943661971830985,0.9230769230769231,0.34
0.2676056338028169,0.9230769230769231,0.32
0.29577464788732394,0.9230769230769231,0.26
0.3380281690140845,0.9230769230769231,0.23
0.352112676056338,0.9230769230769231,0.22333333333333333
0.36619718309859156,0.9487179487179487,0.21
0.38028169014084506,0.9487179487179487,0.205
0.38028169014084506,0.9743589743589743,0.17
0.4225352112676056,0.9743589743589743,0.16
0.4507042253521127,0.9743589743589743,0.15
0.5070422535211268,0.9743589743589743,0.14
0.5352112676056338,1.0,0.13
0.5633802816901409,1.0,0.12
0.5774647887323944,1.0,0.11
0.6056338028169014,1.0,0.10666666666666667
0.6197183098591549,1.0,0.10166666666666668
0.6619718309859155,1.0,0.1
0.704225352112676,1.0,0.07833333333333332
0.7605633802816901,1.0,0.059000000000000004
0.8169014084507042,1.0,0.035
0.8591549295774648,1.0,0.03
0.8873239436619719,1.0,0.02
0.9295774647887324,1.0,0.003333333333333333
1.0,1.0,0.0
