fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02564102564102564,0.9992815852165222
0.0,0.38461538461538464,0.9887776970863342
0.014084507042253521,0.38461538461538464,0.9846535325050354
0.014084507042253521,0.5128205128205128,0.9712475538253784
0.028169014084507043,0.5128205128205128,0.9582224488258362
0.028169014084507043,0.5641025641025641,0.9272699356079102
0.056338028169014086,0.5641025641025641,0.9160879254341125
0.056338028169014086,0.5897435897435898,0.9160028100013733
0.08450704225352113,0.5897435897435898,0.9001373648643494
0.08450704225352113,0.6153846153846154,0.8956530094146729
0.09859154929577464,0.6153846153846154,0.8721378445625305
0.09859154929577464,0.6666666666666666,0.8676237463951111
0.18309859154929578,0.6666666666666666,0.7676727175712585
0.18309859154929578,0.8461538461538461,0.32518020272254944
0.22535211267605634,0.8461538461538461,0.28198784589767456
0.22535211267605634,0.8717948717948718,0.19848652184009552
0.28169014084507044,0.8717948717948718,0.15467193722724915
0.28169014084507044,0.8974358974358975,0.15259875357151031
0.29577464788732394,0.8974358974358975,0.15259011089801788
0.29577464788732394,0.9230769230769231,0.1435156613588333
0.30985915492957744,0.9230769230769231,0.12666399776935577
0.30985915492957744,0.9487179487179487,0.11521060764789581
0.323943661971831,0.9487179487179487,0.0838782787322998
0.323943661971831,0.9743589743589743,0.08197372406721115
0.5352112676056338,0.9743589743589743,0.02371153235435486
0.5352112676056338,1.0,0.02129537984728813
0.6197183098591549,1.0,0.016823692247271538
0.647887323943662,1.0,0.016715923324227333
1.0,1.0,0.00014121436106506735
