fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02564102564102564,0.9759716667303034
0.0,0.48717948717948717,0.7024987769434916
0.014084507042253521,0.48717948717948717,0.7016505514811725
0.014084507042253521,0.5384615384615384,0.6976608079987385
0.028169014084507043,0.5384615384615384,0.6757028032179037
0.028169014084507043,0.5897435897435898,0.6543467010616358
0.04225352112676056,0.5897435897435898,0.645211571879468
0.04225352112676056,0.6153846153846154,0.6422417508885317
0.056338028169014086,0.6153846153846154,0.6314554314325174
0.056338028169014086,0.6410256410256411,0.6222867545964058
0.07042253521126761,0.6410256410256411,0.6125086656875246
0.07042253521126761,0.6666666666666666,0.6060882322684009
0.09859154929577464,0.6666666666666666,0.5992957210301341
0.09859154929577464,0.6923076923076923,0.5935779434707145
0.14084507042253522,0.6923076923076923,0.5508954287990959
0.14084507042253522,0.7948717948717948,0.4827562154591758
0.22535211267605634,0.7948717948717948,0.4207723536155068
0.22535211267605634,0.8205128205128205,0.40008245120729896
0.29577464788732394,0.8205128205128205,0.3643232614693026
0.29577464788732394,0.8461538461538461,0.3622148241590998
0.30985915492957744,0.8461538461538461,0.3599239761188378
0.30985915492957744,0.8974358974358975,0.35220803120815813
0.323943661971831,0.8974358974358975,0.34557773470310826
0.323943661971831,0.9230769230769231,0.3405623892298423
0.4084507042253521,0.9230769230769231,0.31165937994055576
0.4084507042253521,0.9487179487179487,0.30491075414496127
0.43661971830985913,0.9487179487179487,0.27088975097653084
0.43661971830985913,0.9743589743589743,0.18727257586184068
0.7183098591549296,0.9743589743589743,0.13057603273657523
0.7464788732394366,0.9743589743589743,0.12697054280649123
0.9436619718309859,0.9743589743589743,0.10686097162457511
0.9436619718309859,1.0,0.10549310759796512
1.0,1.0,0.0006526817556648043
