fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02564102564102564,0.9999706817172097
0.0,0.07692307692307693,0.999932162302573
0.07042253521126761,0.07692307692307693,0.9960397268354357
0.07042253521126761,0.5384615384615384,0.9253303710048632
0.09859154929577464,0.5384615384615384,0.8965122366496094
0.09859154929577464,0.5641025641025641,0.8907566486311085
0.11267605633802817,0.5641025641025641,0.8230433775093567
0.11267605633802817,0.6153846153846154,0.8066473916241761
0.1267605633802817,0.6153846153846154,0.800248573045892
0.1267605633802817,0.6666666666666666,0.7900473675347832
0.14084507042253522,0.6666666666666666,0.774465123323615
0.14084507042253522,0.6923076923076923,0.7632011244111333
0.15492957746478872,0.6923076923076923,0.7360211891549271
0.15492957746478872,0.7948717948717948,0.6035543076527045
0.18309859154929578,0.7948717948717948,0.5695327744380277
0.18309859154929578,0.8205128205128205,0.5578953069684104
0.2112676056338028,0.8205128205128205,0.5464137716708599
0.2112676056338028,0.8717948717948718,0.4665780908324292
0.23943661971830985,0.8717948717948718,0.4485934889656631
0.23943661971830985,0.8974358974358975,0.37767915527621976
0.2535211267605634,0.8974358974358975,0.357631811532697
0.2535211267605634,0.9230769230769231,0.3560310452238155
0.2676056338028169,0.9230769230769231,0.30692080506659813
0.2676056338028169,0.9487179487179487,0.27713465240230567
0.4507042253521127,0.9487179487179487,0.08189235206170738
0.4507042253521127,0.9743589743589743,0.08053088588150935
0.5070422535211268,0.9743589743589743,0.05478781372746974
0.5070422535211268,1.0,0.05436428547153247
0.6619718309859155,1.0,0.01703499631840256
0.6901408450704225,1.0,0.01548450657546568
1.0,1.0,0.002357729065741021
