Feature,Missing Rate,PreM,PostM,P Value
Age (years),0.00%,40.14 ± 7.95,55.06 ± 7.00,<0.01
Height (m),0.28%,1.60 ± 0.05,1.59 ± 0.05,<0.01
Weight (kg),0.28%,58.72 ± 9.59,60.56 ± 8.18,0.0226
FSH (mIU/mL),0.70%,7.46 ± 6.16,51.47 ± 23.99,<0.01
LH (mIU/mL),0.14%,8.41 ± 9.37,26.15 ± 14.94,<0.01
P (ng/mL),0.14%,3.14 ± 6.15,0.47 ± 0.98,<0.01
E2 (pg/mL),0.14%,126.77 ± 138.45,24.93 ± 46.48,<0.01
Prolactin (ng/mL),0.56%,13.51 ± 8.36,8.72 ± 5.05,<0.01
Testosterone (ng/mL),0.56%,0.37 ± 0.21,0.29 ± 0.19,<0.01
AMH (ng/mL),54.14%,2.01 ± 2.22,0.02 ± 0.07,<0.01
BMI (kg/m²),0.28%,22.78 ± 3.41,23.97 ± 3.02,<0.01
OA,3.65%,-,-,<0.01
EA,15.71%,-,-,<0.01
UA,7.57%,-,-,<0.01
